fishid,monitor,waterbody,date,d,m,y,sitecode,sitedescription,gear,pass,species,lengthmm,weightg,recap,pittype,pit,pitlast8,radio,structure,structurecode,age,sex,maturity,spawningcondition,fishidcomments,tissue/sediment,originalmonitorlabel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mb121016.006,brgmon4,mb,16/Oct/12,16,10,2012,mb_001,goldbridge bridge,,,mw,215,93,,,,,,s,mw121016.006,2+,,imm, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mb121016.007,brgmon4,mb,16/Oct/12,16,10,2012,mb_001,goldbridge bridge,,,mw,312,382.6,,,,,,s,mw121016.007,3s,f,mat,gravid green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mb121016.008,brgmon4,mb,16/Oct/12,16,10,2012,mb_001,goldbridge bridge,,,mw,200,85,,,,,,s,mw121016.008,2+,,imm, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mb121016.009,brgmon4,mb,16/Oct/12,16,10,2012,mb_001,goldbridge bridge,,,mw,310,390,,,,,,s,mw121016.009,3ss,f,mat,gravid green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mb121016.010,brgmon4,mb,16/Oct/12,16,10,2012,mb_001,goldbridge bridge,,,mw,275,251,,,,,,s,mw121016.010,3s,f,mat,gravid green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mb121016.011,brgmon4,mb,16/Oct/12,16,10,2012,mb_001,goldbridge bridge,,,mw,305,290.6,,,,,,s,mw121016.011,3ss,f,mat,gravid green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mb121016.012,brgmon4,mb,16/Oct/12,16,10,2012,mb_001,goldbridge bridge,,,mw,306,364.4,,,,,,s,mw121016.012,3s,f,mat,gravid green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mb121016.013,brgmon4,mb,16/Oct/12,16,10,2012,mb_001,goldbridge bridge,,,mw,272,231,,,,,,s,mw121016.013,3s,m,mat, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mb121016.014,brgmon4,mb,16/Oct/12,16,10,2012,mb_001,goldbridge bridge,,,mw,251,181,,,,,,s,mw121016.014,2s,m,mat, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mb121016.015,brgmon4,mb,16/Oct/12,16,10,2012,mb_001,goldbridge bridge,,,mw,276,303,,,,,,s,mw121016.015,3ss,f,mat,gravid green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mb121016.016,brgmon4,mb,16/Oct/12,16,10,2012,mb_001,goldbridge bridge,,,mw,294,313,,,,,,s,mw121016.016,3s,f,mat,gravid green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mb121016.017,brgmon4,mb,16/Oct/12,16,10,2012,mb_001,goldbridge bridge,,,mw,288,306,,,,,,s,mw121016.017,damaged,f,mat,gravid green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mb121016.018,brgmon4,mb,16/Oct/12,16,10,2012,mb_001,goldbridge bridge,,,mw,327,426,,,,,,s,mw121016.018,3ss,f,mat,gravid green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mb121016.019,brgmon4,mb,16/Oct/12,16,10,2012,mb_001,goldbridge bridge,,,mw,247,171.5,,,,,,s,mw121016.019,2s,m,mat, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mb121016.001,brgmon4,mb,16/Oct/12,16,10,2012,mb_002,hurley river bridge,,,mw,292,252.5,,,,,,s,mw121016.001,2ss,m,mat, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mb121016.002,brgmon4,mb,16/Oct/12,16,10,2012,mb_002,hurley river bridge,,,mw,297,340.3,,,,,,s,mw121016.002,3s,f,mat,gravid green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mb121016.003,brgmon4,mb,16/Oct/12,16,10,2012,mb_002,hurley river bridge,,,mw,265,247.9,,,,,,s,mw121016.003,3s,f,mat,gravid green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mb121016.004,brgmon4,mb,16/Oct/12,16,10,2012,mb_002,hurley river bridge,,,mw,275,307.1,,,,,,s,mw121016.004,3ss,f,mat,gravid green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mb121016.005,brgmon4,mb,16/Oct/12,16,10,2012,mb_002,hurley river bridge,,,mw,248,173.7,,,,,,s,mw121016.005,2s,m,mat, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mb121017.001,brgmon4,mb,17/Oct/12,17,10,2012,mb_001,goldbridge bridge,,,mw,271,224.8,,,,,,s,mw121017.020,2ss,m,mat, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mb121017.002,brgmon4,mb,17/Oct/12,17,10,2012,mb_001,goldbridge bridge,,,mw,300,356.5,,,,,,s,mw121017.021,3s,f,mat,gravid green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mb121017.003,brgmon4,mb,17/Oct/12,17,10,2012,mb_001,goldbridge bridge,,,mw,328,445,,,,,,s,mw121017.022,3s,f,mat,gravid green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mb121017.004,brgmon4,mb,17/Oct/12,17,10,2012,mb_001,goldbridge bridge,,,mw,309,449,,,,,,s,mw121017.023,3ss,f,mat,gravid green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mb121017.005,brgmon4,mb,17/Oct/12,17,10,2012,mb_001,goldbridge bridge,,,mw,296,340,,,,,,s,mw121017.024,3ss,f,mat,gravid green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mb121017.006,brgmon4,mb,17/Oct/12,17,10,2012,mb_001,goldbridge bridge,,,mw,265,213.7,,,,,,s,mw121017.025,3s,f,mat,gravid green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mb121017.007,brgmon4,mb,17/Oct/12,17,10,2012,mb_001,goldbridge bridge,,,mw,300,387.5,,,,,,s,mw121017.026,3ss,f,mat,gravid green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mb121017.008,brgmon4,mb,17/Oct/12,17,10,2012,mb_001,goldbridge bridge,,,mw,254,186,,,,,,s,mw121017.027,2s,m,mat, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mb121017.009,brgmon4,mb,17/Oct/12,17,10,2012,mb_001,goldbridge bridge,,,mw,307,254,,,,,,s,mw121017.028,3s,f,mat,gravid green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mb121017.010,brgmon4,mb,17/Oct/12,17,10,2012,mb_001,goldbridge bridge,,,mw,308,352,,,,,,s,mw121017.029,damaged,f,mat,gravid green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mb121017.011,brgmon4,mb,17/Oct/12,17,10,2012,mb_001,goldbridge bridge,,,mw,338,489,,,,,,s,mw121017.030,3ss,f,mat,gravid green,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mb121025.013,brgmon4,mb,25/Oct/12,25,10,2012,mb_001,goldbridge bridge,,,mw,288,271,,hdx,900 226000085948,00085948,,s,mw121025.010,3s,m,mat, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
